TEST_PARAM.comment:,lr44 2x

SourceMeter Model:,2450
SourceMeter S/N:,04036355
SourceMeter Firmware:,1.7.5b

TEST_PARAM.terminals:,FRONT TERMINALS

TEST_PARAM.initial_voc:,3.0592660904
TEST_PARAM.vcutoff:,1.65

TEST_PARAM.discharge_type:,CONSTANT
TEST_PARAM.discharge_current:,0.05
TEST_PARAM.max_discharge_current:,0.05

TEST_PARAM.measure_interval:,2

TEST_PARAM.discharge_start_time:,02/26/21 14:04:37
TEST_PARAM.discharge_stop_time:,02/26/21 14:35:54

BATT_MODEL_RAW:,Index,Timestamp,Voc,Vload,ESR
BATT_MODEL_RAW:,68,134.09074524,2.6152114868,2.3435173035,5.433883667
BATT_MODEL_RAW:,69,136.09188154,2.6133728027,2.3413505554,5.4404449463
BATT_MODEL_RAW:,70,138.0925838,2.6115493774,2.3391914368,5.4471588135
BATT_MODEL_RAW:,71,140.09374176,2.609752655,2.3370170593,5.4547119141
BATT_MODEL_RAW:,72,142.09439678,2.6079711914,2.3348731995,5.4619598389
BATT_MODEL_RAW:,73,144.09557316,2.6061897278,2.3327484131,5.4688262939
BATT_MODEL_RAW:,74,146.09633848,2.604434967,2.3306541443,5.4756164551
BATT_MODEL_RAW:,75,148.0971354,2.6026802063,2.3285293579,5.4830169678
BATT_MODEL_RAW:,76,150.0979221,2.6009407043,2.326423645,5.4903411865
BATT_MODEL_RAW:,77,152.09832388,2.5992202759,2.3243637085,5.4971313477
BATT_MODEL_RAW:,78,154.09914588,2.5975151062,2.3223075867,5.5041503906
BATT_MODEL_RAW:,79,156.10021984,2.5958061218,2.3202323914,5.5114746094
BATT_MODEL_RAW:,80,158.10130106,2.5941429138,2.3182144165,5.5185699463
BATT_MODEL_RAW:,81,160.10200998,2.5924682617,2.3161811829,5.5257415771
BATT_MODEL_RAW:,82,162.10282628,2.5907974243,2.3141365051,5.5332183838
BATT_MODEL_RAW:,83,164.10366518,2.5891609192,2.3121147156,5.5409240723
BATT_MODEL_RAW:,84,166.10431284,2.5875167847,2.3101119995,5.5480957031
BATT_MODEL_RAW:,85,168.10510176,2.5858955383,2.3081283569,5.5553436279
BATT_MODEL_RAW:,86,170.10623238,2.5843048096,2.3061561584,5.5629730225
BATT_MODEL_RAW:,87,172.10662686,2.582698822,2.3041915894,5.5701446533
BATT_MODEL_RAW:,88,174.10767586,2.5811157227,2.3022842407,5.5766296387
BATT_MODEL_RAW:,89,176.1084682,2.579536438,2.3003578186,5.5835723877
BATT_MODEL_RAW:,90,178.10888644,2.577960968,2.298412323,5.5909729004
BATT_MODEL_RAW:,91,180.10985426,2.5764007568,2.2964859009,5.5982971191
BATT_MODEL_RAW:,92,182.11064658,2.5748329163,2.2945709229,5.6052398682
BATT_MODEL_RAW:,93,184.11160726,2.5732955933,2.2926635742,5.6126403809
BATT_MODEL_RAW:,94,186.11235786,2.5717506409,2.2907600403,5.6198120117
BATT_MODEL_RAW:,95,188.11346578,2.5702171326,2.2888832092,5.6266784668
BATT_MODEL_RAW:,96,190.11422802,2.5686759949,2.2869873047,5.6337738037
BATT_MODEL_RAW:,97,192.11500902,2.5671653748,2.2851448059,5.640411377
BATT_MODEL_RAW:,98,194.11592656,2.5656738281,2.2833061218,5.647354126
BATT_MODEL_RAW:,99,196.11657022,2.5641860962,2.2814674377,5.6543731689
BATT_MODEL_RAW:,100,198.11763108,2.5626716614,2.2795753479,5.6619262695
BATT_MODEL_RAW:,101,200.11814306,2.5611763,2.277721405,5.6690979004
BATT_MODEL_RAW:,102,202.11861376,2.5596923828,2.275894165,5.6759643555
BATT_MODEL_RAW:,103,204.11974214,2.5582351685,2.2740783691,5.6831359863
BATT_MODEL_RAW:,104,206.12080472,2.5567741394,2.2722854614,5.6897735596
BATT_MODEL_RAW:,105,208.12182898,2.5553245544,2.2704849243,5.6967926025
BATT_MODEL_RAW:,106,210.1229794,2.553894043,2.2687301636,5.7032775879
BATT_MODEL_RAW:,107,212.12401498,2.552444458,2.2669334412,5.7102203369
BATT_MODEL_RAW:,108,214.12421936,2.5510368347,2.2652130127,5.7164764404
BATT_MODEL_RAW:,109,216.12536768,2.5496063232,2.2634963989,5.7221984863
BATT_MODEL_RAW:,110,218.12616648,2.5481987,2.2617530823,5.7289123535
BATT_MODEL_RAW:,111,220.12712306,2.546787262,2.2600631714,5.7344818115
BATT_MODEL_RAW:,112,222.12788246,2.5453681946,2.2583198547,5.7409667969
